Host Name,Possible Missing Planets,Ratio
47 UMa,539.000000 +/- 53.900000,2:1
47 UMa,1195.500000 +/- 119.550000,2:1
47 UMa,7001.000000 +/- 700.100000,2:1
47 UMa,359.333333 +/- 53.900000,3:1
47 UMa,797.000000 +/- 119.550000,3:1
47 UMa,4667.333333 +/- 700.100000,3:1
47 UMa,215.600000 +/- 53.900000,5:2
47 UMa,431.200000 +/- 53.900000,5:2
47 UMa,478.200000 +/- 119.550000,5:2
47 UMa,956.400000 +/- 119.550000,5:2
47 UMa,2800.400000 +/- 700.100000,5:2
47 UMa,5600.800000 +/- 700.100000,5:2
47 UMa,1078.000000 +/- 53.900000,1:1
47 UMa,2391.000000 +/- 119.550000,1:1
47 UMa,14002.000000 +/- 700.100000,1:1
55 Cnc,2.930320 +/- 0.732580,5:2
55 Cnc,5.860640 +/- 0.732580,5:2
55 Cnc,8.879780 +/- 2.219945,5:2
55 Cnc,17.759560 +/- 2.219945,5:2
55 Cnc,1114.840000 +/- 278.710000,5:2
55 Cnc,2229.680000 +/- 278.710000,5:2
55 Cnc,0.147309 +/- 0.036827,5:2
55 Cnc,0.294619 +/- 0.036827,5:2
55 Cnc,51.976000 +/- 12.994000,5:2
55 Cnc,103.952000 +/- 12.994000,5:2
55 Cnc,14.651600 +/- 0.732580,1:1
55 Cnc,44.398900 +/- 2.219945,1:1
55 Cnc,5574.200000 +/- 278.710000,1:1
55 Cnc,0.736547 +/- 0.036827,1:1
55 Cnc,259.880000 +/- 12.994000,1:1
61 Vir,2.107500 +/- 0.210750,2:1
61 Vir,19.010500 +/- 1.901050,2:1
61 Vir,61.505000 +/- 6.150500,2:1
61 Vir,1.405000 +/- 0.210750,3:1
61 Vir,12.673667 +/- 1.901050,3:1
61 Vir,41.003333 +/- 6.150500,3:1
61 Vir,1.405000 +/- 0.210750,3:2
61 Vir,2.810000 +/- 0.210750,3:2
61 Vir,12.673667 +/- 1.901050,3:2
61 Vir,25.347333 +/- 1.901050,3:2
61 Vir,41.003333 +/- 6.150500,3:2
61 Vir,82.006667 +/- 6.150500,3:2
61 Vir,0.843000 +/- 0.210750,5:2
61 Vir,1.686000 +/- 0.210750,5:2
61 Vir,7.604200 +/- 1.901050,5:2
61 Vir,15.208400 +/- 1.901050,5:2
61 Vir,24.602000 +/- 6.150500,5:2
61 Vir,49.204000 +/- 6.150500,5:2
CoRoT-7,0.284531 +/- 0.042680,3:2
CoRoT-7,0.569061 +/- 0.042680,3:2
CoRoT-7,1.232667 +/- 0.184900,3:2
CoRoT-7,2.465333 +/- 0.184900,3:2
CoRoT-7,2.988667 +/- 0.448300,3:2
CoRoT-7,5.977333 +/- 0.448300,3:2
CoRoT-7,0.853592 +/- 0.042680,1:1
CoRoT-7,3.698000 +/- 0.184900,1:1
CoRoT-7,8.966000 +/- 0.448300,1:1
