Host Name,Orbital Period,Possible Missing Planets
GJ 9827,3.6269457,3.627 +/- 0.150
HD 110067,41.039234,41.039 +/- 0.100
HD 110067,41.021082,41.021 +/- 0.150
HD 110067,13.670517,13.671 +/- 0.075
HD 110067,20.510541,20.511 +/- 0.075
HD 110067,30.779425500000002,30.779 +/- 0.075
HD 23472,7.95328,7.953 +/- 0.100
HD 27894,36.03878,36.039 +/- 0.100
HD 39194,14.092,14.092 +/- 0.125
K2-138,3.529635,3.530 +/- 0.075
K2-138,5.340059999999999,5.340 +/- 0.075
K2-16,19.047,19.047 +/- 0.125
K2-187,7.17878,7.179 +/- 0.125
K2-266,19.535,19.535 +/- 0.125
K2-285,10.415235,10.415 +/- 0.150
K2-384,6.6945809999999994,6.695 +/- 0.150
Kepler-107,14.704356,14.704 +/- 0.150
Kepler-107,7.9500545,7.950 +/- 0.125
Kepler-1542,5.92675323,5.927 +/- 0.075
Kepler-206,23.345961,23.346 +/- 0.150
Kepler-208,11.199934500000001,11.200 +/- 0.075
Kepler-221,5.591812,5.592 +/- 0.100
Kepler-223,14.76898,14.769 +/- 0.100
Kepler-223,19.69128,19.691 +/- 0.100
Kepler-223,14.76846,14.768 +/- 0.075
Kepler-238,6.272628000000001,6.273 +/- 0.150
Kepler-265,17.115655,17.116 +/- 0.125
Kepler-305,8.2305,8.230 +/- 0.075
Kepler-32,8.687999999999999,8.688 +/- 0.150
Kepler-326,4.496658,4.497 +/- 0.100
Kepler-326,6.744987,6.745 +/- 0.150
Kepler-372,30.0806445,30.081 +/- 0.075
Kepler-42,1.35985527,1.360 +/- 0.150
Kepler-42,1.8206508,1.821 +/- 0.075
Kepler-42,1.133212725,1.133 +/- 0.125
Kepler-446,3.130818,3.131 +/- 0.100
Kepler-80,2.9603619,2.960 +/- 0.150
Kepler-80,4.6083300000000005,4.608 +/- 0.075
Kepler-82,5.9574025,5.957 +/- 0.125
Kepler-85,12.459,12.459 +/- 0.075
L 98-59,7.381349,7.381 +/- 0.100
LP 791-18,2.8439943,2.844 +/- 0.150
TOI-1136,12.5145,12.514 +/- 0.100
TOI-1136,12.518340000000002,12.518 +/- 0.150
TOI-1136,18.77175,18.772 +/- 0.150
TOI-1136,6.259170000000001,6.259 +/- 0.075
TOI-1136,18.779055,18.779 +/- 0.075
TOI-1136,39.4743,39.474 +/- 0.075
TOI-1749,8.9858,8.986 +/- 0.100
TOI-178,6.4769,6.477 +/- 0.100
TOI-270,11.3211462,11.321 +/- 0.100
TOI-561,77.13719999999999,77.137 +/- 0.150
TRAPPIST-1,6.073828499999999,6.074 +/- 0.075
TRAPPIST-1,9.1515195,9.152 +/- 0.075
TRAPPIST-1,6.0548424999999995,6.055 +/- 0.125
V1298 Tau,12.374369999999999,12.374 +/- 0.075
